Land,Ride,Wait Time,Local Time,Day of Week
Pixar Pier,Games of Pixar Pier,5,2024-07-14 19:45:04.043376-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 19:45:04.043376-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-14 19:45:04.043376-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 19:45:04.043376-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,10,2024-07-14 19:45:04.043376-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 19:45:04.043376-07:00,Sunday
Grizzly Peak,Grizzly River Run,25,2024-07-14 19:45:04.043376-07:00,Sunday
Pixar Pier,Incredicoaster,25,2024-07-14 19:45:04.043376-07:00,Sunday
Grizzly Peak,Soarin' Around the World,30,2024-07-14 19:45:04.043376-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-14 19:45:04.043376-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-14 19:45:04.043376-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-14 19:45:04.043376-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-14 19:45:04.043376-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 19:45:04.043376-07:00,Sunday
Cars Land,Radiator Springs Racers,75,2024-07-14 19:45:04.043376-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 20:00:04.449612-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 20:00:04.449612-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Games of Pixar Pier,5,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 20:00:04.449612-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-14 20:00:04.449612-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,10,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 20:00:04.449612-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,25,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Incredicoaster,25,2024-07-14 20:00:04.449612-07:00,Sunday
Grizzly Peak,Soarin' Around the World,30,2024-07-14 20:00:04.449612-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-14 20:00:04.449612-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-14 20:00:04.449612-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",35,2024-07-14 20:00:04.449612-07:00,Sunday
Grizzly Peak,Grizzly River Run,40,2024-07-14 20:00:04.449612-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 20:00:04.449612-07:00,Sunday
Cars Land,Radiator Springs Racers,75,2024-07-14 20:00:04.449612-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 20:15:03.698445-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 20:15:03.698445-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Games of Pixar Pier,5,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-14 20:15:03.698445-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-14 20:15:03.698445-07:00,Sunday
Grizzly Peak,Grizzly River Run,10,2024-07-14 20:15:03.698445-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-14 20:15:03.698445-07:00,Sunday
Grizzly Peak,Soarin' Around the World,20,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Incredicoaster,20,2024-07-14 20:15:03.698445-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,25,2024-07-14 20:15:03.698445-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-14 20:15:03.698445-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",35,2024-07-14 20:15:03.698445-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-14 20:15:03.698445-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 20:15:03.698445-07:00,Sunday
Cars Land,Radiator Springs Racers,75,2024-07-14 20:15:03.698445-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 20:30:04.002110-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 20:30:04.002110-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Games of Pixar Pier,5,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-14 20:30:04.002110-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-14 20:30:04.002110-07:00,Sunday
Grizzly Peak,Grizzly River Run,10,2024-07-14 20:30:04.002110-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 20:30:04.002110-07:00,Sunday
Paradise Gardens Park,Goofy's Sky School,15,2024-07-14 20:30:04.002110-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-14 20:30:04.002110-07:00,Sunday
Grizzly Peak,Soarin' Around the World,20,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 20:30:04.002110-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",25,2024-07-14 20:30:04.002110-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 20:30:04.002110-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,50,2024-07-14 20:30:04.002110-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 20:30:04.002110-07:00,Sunday
Cars Land,Radiator Springs Racers,75,2024-07-14 20:30:04.002110-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 20:45:04.224175-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 20:45:04.224175-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 20:45:04.224175-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Games of Pixar Pier,5,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 20:45:04.224175-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 20:45:04.224175-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",10,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 20:45:04.224175-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-14 20:45:04.224175-07:00,Sunday
Grizzly Peak,Soarin' Around the World,20,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 20:45:04.224175-07:00,Sunday
Paradise Gardens Park,Goofy's Sky School,25,2024-07-14 20:45:04.224175-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 20:45:04.224175-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-14 20:45:04.224175-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 20:45:04.224175-07:00,Sunday
Cars Land,Radiator Springs Racers,75,2024-07-14 20:45:04.224175-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 21:00:03.443992-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 21:00:03.443992-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 21:00:03.443992-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 21:00:03.443992-07:00,Sunday
Pixar Pier,Games of Pixar Pier,5,2024-07-14 21:00:03.443992-07:00,Sunday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-14 21:00:03.443992-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 21:00:03.443992-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-14 21:00:03.443992-07:00,Sunday
Grizzly Peak,Soarin' Around the World,20,2024-07-14 21:00:03.443992-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",20,2024-07-14 21:00:03.443992-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 21:00:03.443992-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-14 21:00:03.443992-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-14 21:00:03.443992-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 21:00:03.443992-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 21:00:03.443992-07:00,Sunday
Cars Land,Radiator Springs Racers,55,2024-07-14 21:00:03.443992-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,5,2024-07-14 21:15:03.718081-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 21:15:03.718081-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 21:15:03.718081-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 21:15:03.718081-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 21:15:03.718081-07:00,Sunday
Grizzly Peak,Soarin' Around the World,10,2024-07-14 21:15:03.718081-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 21:15:03.718081-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",15,2024-07-14 21:15:03.718081-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-14 21:15:03.718081-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 21:15:03.718081-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-14 21:15:03.718081-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 21:15:03.718081-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-14 21:15:03.718081-07:00,Sunday
Cars Land,Radiator Springs Racers,55,2024-07-14 21:15:03.718081-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 21:30:04.003420-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 21:30:04.003420-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-14 21:30:04.003420-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 21:30:04.003420-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 21:30:04.003420-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,10,2024-07-14 21:30:04.003420-07:00,Sunday
Cars Land,Radiator Springs Racers,10,2024-07-14 21:30:04.003420-07:00,Sunday
Grizzly Peak,Soarin' Around the World,10,2024-07-14 21:30:04.003420-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 21:30:04.003420-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,15,2024-07-14 21:30:04.003420-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 21:30:04.003420-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-14 21:30:04.003420-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 21:30:04.003420-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,70,2024-07-14 21:30:04.003420-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 21:45:04.322898-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 21:45:04.322898-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-14 21:45:04.322898-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 21:45:04.322898-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 21:45:04.322898-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 21:45:04.322898-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 21:45:04.322898-07:00,Sunday
Grizzly Peak,Soarin' Around the World,10,2024-07-14 21:45:04.322898-07:00,Sunday
Paradise Gardens Park,Goofy's Sky School,10,2024-07-14 21:45:04.322898-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 21:45:04.322898-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,15,2024-07-14 21:45:04.322898-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 21:45:04.322898-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-14 21:45:04.322898-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 21:45:04.322898-07:00,Sunday
Cars Land,Radiator Springs Racers,50,2024-07-14 21:45:04.322898-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,70,2024-07-14 21:45:04.322898-07:00,Sunday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-14 22:00:03.577908-07:00,Sunday
Grizzly Peak,Grizzly River Run,5,2024-07-14 22:00:03.577908-07:00,Sunday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-14 22:00:03.577908-07:00,Sunday
Paradise Gardens Park,Golden Zephyr,5,2024-07-14 22:00:03.577908-07:00,Sunday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-14 22:00:03.577908-07:00,Sunday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-14 22:00:03.577908-07:00,Sunday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-14 22:00:03.577908-07:00,Sunday
Grizzly Peak,Soarin' Around the World,10,2024-07-14 22:00:03.577908-07:00,Sunday
Paradise Gardens Park,Goofy's Sky School,10,2024-07-14 22:00:03.577908-07:00,Sunday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-14 22:00:03.577908-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,15,2024-07-14 22:00:03.577908-07:00,Sunday
Cars Land,Luigi's Rollickin' Roadsters,15,2024-07-14 22:00:03.577908-07:00,Sunday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-14 22:00:03.577908-07:00,Sunday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-14 22:00:03.577908-07:00,Sunday
Pixar Pier,Incredicoaster,30,2024-07-14 22:00:03.577908-07:00,Sunday
Cars Land,Radiator Springs Racers,50,2024-07-14 22:00:03.577908-07:00,Sunday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-14 22:00:03.577908-07:00,Sunday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,5,2024-07-15 08:00:04.419467-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 08:00:04.419467-07:00,Monday
Grizzly Peak,Soarin' Around the World,5,2024-07-15 08:00:04.419467-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 08:00:04.419467-07:00,Monday
Pixar Pier,Incredicoaster,5,2024-07-15 08:00:04.419467-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,13,2024-07-15 08:00:04.419467-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,5,2024-07-15 08:15:03.701998-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 08:15:03.701998-07:00,Monday
Grizzly Peak,Soarin' Around the World,5,2024-07-15 08:15:03.701998-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Incredicoaster,5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 08:15:03.701998-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 08:15:03.701998-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,35,2024-07-15 08:15:03.701998-07:00,Monday
Cars Land,Radiator Springs Racers,90,2024-07-15 08:15:03.701998-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,5,2024-07-15 08:30:04.041335-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,5,2024-07-15 08:30:04.041335-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 08:30:04.041335-07:00,Monday
Grizzly Peak,Soarin' Around the World,5,2024-07-15 08:30:04.041335-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 08:30:04.041335-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 08:30:04.041335-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Incredicoaster,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 08:30:04.041335-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,5,2024-07-15 08:30:04.041335-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,25,2024-07-15 08:30:04.041335-07:00,Monday
Cars Land,Radiator Springs Racers,120,2024-07-15 08:30:04.041335-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 08:45:04.398602-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-15 08:45:04.398602-07:00,Monday
Grizzly Peak,Soarin' Around the World,5,2024-07-15 08:45:04.398602-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 08:45:04.398602-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 08:45:04.398602-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,5,2024-07-15 08:45:04.398602-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Incredicoaster,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 08:45:04.398602-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,5,2024-07-15 08:45:04.398602-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,10,2024-07-15 08:45:04.398602-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,10,2024-07-15 08:45:04.398602-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,25,2024-07-15 08:45:04.398602-07:00,Monday
Cars Land,Radiator Springs Racers,120,2024-07-15 08:45:04.398602-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 09:00:03.664468-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-15 09:00:03.664468-07:00,Monday
Grizzly Peak,Soarin' Around the World,5,2024-07-15 09:00:03.664468-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 09:00:03.664468-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 09:00:03.664468-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,5,2024-07-15 09:00:03.664468-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-15 09:00:03.664468-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Incredicoaster,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 09:00:03.664468-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,5,2024-07-15 09:00:03.664468-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,10,2024-07-15 09:00:03.664468-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,25,2024-07-15 09:00:03.664468-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,35,2024-07-15 09:00:03.664468-07:00,Monday
Cars Land,Radiator Springs Racers,110,2024-07-15 09:00:03.664468-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 09:15:03.932592-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-15 09:15:03.932592-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 09:15:03.932592-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 09:15:03.932592-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-15 09:15:03.932592-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 09:15:03.932592-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-15 09:15:03.932592-07:00,Monday
Grizzly Peak,Soarin' Around the World,15,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Incredicoaster,15,2024-07-15 09:15:03.932592-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,15,2024-07-15 09:15:03.932592-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,20,2024-07-15 09:15:03.932592-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,65,2024-07-15 09:15:03.932592-07:00,Monday
Cars Land,Radiator Springs Racers,100,2024-07-15 09:15:03.932592-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 09:30:04.269126-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-15 09:30:04.269126-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-15 09:30:04.269126-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 09:30:04.269126-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-15 09:30:04.269126-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-15 09:30:04.269126-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-15 09:30:04.269126-07:00,Monday
Grizzly Peak,Soarin' Around the World,15,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Incredicoaster,15,2024-07-15 09:30:04.269126-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,15,2024-07-15 09:30:04.269126-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-15 09:30:04.269126-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-15 09:30:04.269126-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-15 09:30:04.269126-07:00,Monday
Cars Land,Radiator Springs Racers,85,2024-07-15 09:30:04.269126-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-15 09:45:03.508387-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-15 09:45:03.508387-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-15 09:45:03.508387-07:00,Monday
